style;filename;artist;title;year
Baroque;adriaen-brouwer_father-s-of-unpleasant-duties-1631.jpg;Adriaen Brouwer;Father S Of Unpleasant Duties;1631
Baroque;gian-lorenzo-bernini_st-longinus(1).jpg;Gian Lorenzo Bernini;St Longinus;
Baroque;theodoor-van-thulden_odysseus-lands-at-beach-of-hades.jpg;Theodoor Van Thulden;Odysseus Lands At Beach Of Hades;
Baroque;paul-bril_landscape-with-mercury-and-argus-1606.jpg;Paul Bril;Landscape With Mercury And Argus;1606
Baroque;gabriel-metsu_washerwoman.jpg;Gabriel Metsu;Washerwoman;
Baroque;diego-velazquez_portrait-of-a-little-girl.jpg;Diego Velazquez;Portrait Of A Little Girl;
Baroque;antoine-pesne_portrait-of-a-man.jpg;Antoine Pesne;Portrait Of A Man;
Baroque;francesco-guardi_pope-pius-vi-blessing-the-people-on-campo-santi-giovanni-e-paolo.jpg;Francesco Guardi;Pope Pius Vi Blessing The People On Campo Santi Giovanni E Paolo;
Baroque;joshua-reynolds_paul-henry-ourry.jpg;Joshua Reynolds;Paul Henry Ourry;
Baroque;frans-snyders_sable-of-the-fox-and-the-heron.jpg;Frans Snyders;Sable Of The Fox And The Heron;
Baroque;francesco-guardi_the-lagoon-from-the-fondamenta-nuove.jpg;Francesco Guardi;The Lagoon From The Fondamenta Nuove;
Baroque;peter-paul-rubens_queen-tomyris-with-the-head-of-cyrus.jpg;Peter Paul Rubens;Queen Tomyris With The Head Of Cyrus;
Baroque;gerard-terborch_lady-at-her-toilette.jpg;Gerard Terborch;Lady At Her Toilette;
Baroque;adriaen-brouwer_dune-landscape-by-moonlight.jpg;Adriaen Brouwer;Dune Landscape By Moonlight;
Baroque;diego-velazquez_portrait-of-infante-don-carlos-1627.jpg;Diego Velazquez;Portrait Of Infante Don Carlos;1627
Baroque;rembrandt_bust-of-an-old-woman-rembrandt-s-mother-1628.jpg;Rembrandt;Bust Of An Old Woman Rembrandt S Mother;1628
Baroque;anthony-van-dyck_lucas-vorsterman.jpg;Anthony Van Dyck;Lucas Vorsterman;
Baroque;rembrandt_jacob-caressing-benjamin-1637.jpg;Rembrandt;Jacob Caressing Benjamin;1637
Baroque;bartolome-esteban-murillo_the-good-shepherd-child.jpg;Bartolome Esteban Murillo;The Good Shepherd Child;
Baroque;peter-paul-rubens_diana-and-callisto.jpg;Peter Paul Rubens;Diana And Callisto;
Early_Renaissance;domenico-ghirlandaio_st-jerome-1480.jpg;Domenico Ghirlandaio;St Jerome;1480
Early_Renaissance;jacopo-bellini_dormition-of-the-virgin.jpg;Jacopo Bellini;Dormition Of The Virgin;
Early_Renaissance;andrea-mantegna_the-flagellation-of-christ-in-the-pavement-1475.jpg;Andrea Mantegna;The Flagellation Of Christ In The Pavement;1475
Early_Renaissance;leonardo-da-vinci_head-of-an-old-man.jpg;Leonardo Da Vinci;Head Of An Old Man;
Early_Renaissance;carlo-crivelli_triptych-of-camerino-1482.jpg;Carlo Crivelli;Triptych Of Camerino;1482
Early_Renaissance;domenico-ghirlandaio_st-john-the-evangelist-on-the-island-of-patmos-1485.jpg;Domenico Ghirlandaio;St John The Evangelist On The Island Of Patmos;1485
Early_Renaissance;sandro-botticelli_the-madonna-and-child-with-the-infant-saint-john-the-baptist(1).jpg;Sandro Botticelli;The Madonna And Child With The Infant Saint John The Baptist;
Early_Renaissance;masaccio_portrait-of-a-young-woman-1425.jpg;Masaccio;Portrait Of A Young Woman;1425
Early_Renaissance;antonello-da-messina_st-jerome-in-his-study.jpg;Antonello Da Messina;St Jerome In His Study;
Early_Renaissance;filippo-lippi_portrait-of-a-woman-1440.jpg;Filippo Lippi;Portrait Of A Woman;1440
Early_Renaissance;domenico-ghirlandaio_angel-appearing-to-zacharias-1490.jpg;Domenico Ghirlandaio;Angel Appearing To Zacharias;1490
Early_Renaissance;benozzo-gozzoli_st-augustine-departing-for-milan-detail-1465.jpg;Benozzo Gozzoli;St Augustine Departing For Milan Detail;1465
Early_Renaissance;filippo-lippi_meeting-of-joachim-and-anne-at-the-golden-gate.jpg;Filippo Lippi;Meeting Of Joachim And Anne At The Golden Gate;
Early_Renaissance;andrea-mantegna_scenes-from-the-life-of-st-christopher-1448-2.jpg;Andrea Mantegna;Scenes From The Life Of St Christopher;1448
Early_Renaissance;sandro-botticelli_giuliano-de-medici-1478(1).jpg;Sandro Botticelli;Giuliano De Medici;1478
Early_Renaissance;antonello-da-messina_madonna-and-child-salting-madonna.jpg;Antonello Da Messina;Madonna And Child Salting Madonna;
