style;filename;artist;title;year;encrypted_name
Baroque;adriaen-brouwer_father-s-of-unpleasant-duties-1631.jpg;Adriaen Brouwer;Father S Of Unpleasant Duties;1631.0;image00001.jpg
Baroque;gian-lorenzo-bernini_st-longinus(1).jpg;Gian Lorenzo Bernini;St Longinus;;image00002.jpg
Baroque;theodoor-van-thulden_odysseus-lands-at-beach-of-hades.jpg;Theodoor Van Thulden;Odysseus Lands At Beach Of Hades;;image00003.jpg
Baroque;paul-bril_landscape-with-mercury-and-argus-1606.jpg;Paul Bril;Landscape With Mercury And Argus;1606.0;image00004.jpg
Baroque;gabriel-metsu_washerwoman.jpg;Gabriel Metsu;Washerwoman;;image00005.jpg
Baroque;diego-velazquez_portrait-of-a-little-girl.jpg;Diego Velazquez;Portrait Of A Little Girl;;image00006.jpg
Baroque;antoine-pesne_portrait-of-a-man.jpg;Antoine Pesne;Portrait Of A Man;;image00007.jpg
Baroque;francesco-guardi_pope-pius-vi-blessing-the-people-on-campo-santi-giovanni-e-paolo.jpg;Francesco Guardi;Pope Pius Vi Blessing The People On Campo Santi Giovanni E Paolo;;image00008.jpg
Baroque;joshua-reynolds_paul-henry-ourry.jpg;Joshua Reynolds;Paul Henry Ourry;;image00009.jpg
Baroque;frans-snyders_sable-of-the-fox-and-the-heron.jpg;Frans Snyders;Sable Of The Fox And The Heron;;image00010.jpg
Baroque;francesco-guardi_the-lagoon-from-the-fondamenta-nuove.jpg;Francesco Guardi;The Lagoon From The Fondamenta Nuove;;image00011.jpg
Baroque;peter-paul-rubens_queen-tomyris-with-the-head-of-cyrus.jpg;Peter Paul Rubens;Queen Tomyris With The Head Of Cyrus;;image00012.jpg
Baroque;gerard-terborch_lady-at-her-toilette.jpg;Gerard Terborch;Lady At Her Toilette;;image00013.jpg
Baroque;adriaen-brouwer_dune-landscape-by-moonlight.jpg;Adriaen Brouwer;Dune Landscape By Moonlight;;image00014.jpg
Baroque;diego-velazquez_portrait-of-infante-don-carlos-1627.jpg;Diego Velazquez;Portrait Of Infante Don Carlos;1627.0;image00015.jpg
